"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Senile.coral.reef"
"298"	"f000/wlh2_000785.jpg"	0.802	0.136	0	0.062
"299"	"f000/wlh2_000415.jpg"	0.738	0.056	0	0.206
"300"	"f000/wlh2_000549.jpg"	1	0	0	0
"301"	"f000/wlh2_000008.jpg"	0.962	0.028	0	0.01
"302"	"f000/wlh2_000987.jpg"	0.988	0.004	0	0.008
"303"	"f000/wlh2_000265.jpg"	0.286	0.062	0	0.652
"304"	"f000/wlh2_000646.jpg"	0.016	0.292	0	0.692
"305"	"f000/wlh2_000798.jpg"	0.898	0.044	0	0.058
"306"	"f000/wlh2_000410.jpg"	0.304	0.39	0	0.306
"307"	"f000/wlh2_000789.jpg"	0.222	0.664	0	0.114
"308"	"f000/wlh2_000610.jpg"	0.884	0.06	0.002	0.054
"309"	"f000/wlh2_000543.jpg"	0.98	0.008	0	0.012
"310"	"f000/wlh2_000196.jpg"	0.798	0.076	0.004	0.122
"311"	"f000/wlh2_000670.jpg"	0.002	0.286	0	0.712
"312"	"f000/wlh2_000770.jpg"	0.268	0.618	0	0.114
"313"	"f000/wlh2_000188.jpg"	0.848	0.052	0	0.1
"314"	"f000/wlh2_000820.jpg"	0.02	0.628	0	0.352
"315"	"f000/wlh2_000600.jpg"	0.016	0.904	0.004	0.076
"316"	"f000/wlh2_000890.jpg"	0.014	0.92	0	0.066
"317"	"f000/wlh2_000143.jpg"	0.1	0.054	0.004	0.842
"318"	"f000/wlh2_000386.jpg"	0.82	0.094	0	0.086
"319"	"f000/wlh2_000292.jpg"	0.058	0.222	0	0.72
"320"	"f000/wlh2_000877.jpg"	0.072	0.662	0	0.266
"321"	"f000/wlh2_000861.jpg"	0.302	0.046	0	0.652
"322"	"f000/wlh2_000441.jpg"	0.06	0.776	0.002	0.162
"323"	"f000/wlh2_000635.jpg"	0.034	0.92	0.002	0.044
"324"	"f000/wlh2_000939.jpg"	0.91	0.04	0.002	0.048
"325"	"f000/wlh2_000931.jpg"	0.014	0.934	0	0.052
"326"	"f000/wlh2_000027.jpg"	0.984	0.008	0	0.008
"327"	"f000/wlh2_000531.jpg"	0.998	0.002	0	0
"328"	"f000/wlh2_000765.jpg"	0.022	0.958	0	0.02
"329"	"f000/wlh2_000144.jpg"	0.16	0.12	0	0.72
"330"	"f000/wlh2_000055.jpg"	0.49	0.328	0.018	0.164
"331"	"f000/wlh2_000943.jpg"	0.996	0.002	0	0.002
"332"	"f000/wlh2_000011.jpg"	0.964	0.012	0	0.024
"333"	"f000/wlh2_000397.jpg"	0.126	0.442	0.004	0.428
"334"	"f000/wlh2_000700.jpg"	0.128	0.134	0.002	0.736
"335"	"f000/wlh2_000932.jpg"	0.018	0.888	0.002	0.092
"336"	"f000/wlh2_000727.jpg"	0.012	0.314	0	0.674
"337"	"f000/wlh2_000677.jpg"	0.016	0.892	0	0.092
"338"	"f000/wlh2_000184.jpg"	0.542	0.152	0	0.306
"339"	"f000/wlh2_000857.jpg"	0.992	0.006	0	0.002
"340"	"f000/wlh2_000195.jpg"	0.94	0.024	0	0.036
