"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Seagrasses"	"Senile.coral.reef"
"326"	"f004/elh2_004137.jpg"	0	0.356	0.59	0	0.054
"327"	"f004/elh2_004450.jpg"	0.002	0.196	0.004	0	0.798
"328"	"f004/elh2_004912.jpg"	0.006	0.126	0	0	0.868
"329"	"f004/elh2_004241.jpg"	0.016	0.714	0.018	0	0.252
"330"	"f004/elh2_004983.jpg"	0.08	0.838	0	0	0.082
"331"	"f004/elh2_004460.jpg"	0	0.562	0.036	0	0.402
"332"	"f004/elh2_004947.jpg"	0.002	0.122	0	0	0.876
"333"	"f004/elh2_004258.jpg"	0	0.58	0.208	0	0.212
"334"	"f004/elh2_004592.jpg"	0.01	0.21	0	0	0.78
"335"	"f004/elh2_004913.jpg"	0.008	0.182	0	0	0.81
"336"	"f004/elh2_004801.jpg"	0.002	0.368	0	0	0.63
"337"	"f004/elh2_004336.jpg"	0.002	0.692	0.146	0	0.16
"338"	"f004/elh2_004216.jpg"	0.004	0.506	0.284	0	0.206
"339"	"f004/elh2_004377.jpg"	0.004	0.798	0.012	0	0.186
"340"	"f004/elh2_004996.jpg"	0.106	0.584	0	0	0.31
"341"	"f004/elh2_004296.jpg"	0	0.44	0.154	0	0.406
"342"	"f004/elh2_004252.jpg"	0	0.592	0.154	0	0.254
"343"	"f004/elh2_004701.jpg"	0.036	0.394	0	0	0.57
"344"	"f004/elh2_004880.jpg"	0.016	0.73	0	0	0.254
"345"	"f004/elh2_004140.jpg"	0	0.114	0.882	0	0.004
"346"	"f004/elh2_004304.jpg"	0	0.7	0.106	0	0.194
"347"	"f004/elh2_004901.jpg"	0.01	0.588	0.004	0	0.398
"348"	"f004/elh2_004629.jpg"	0	0.092	0	0	0.908
"349"	"f004/elh2_004604.jpg"	0	0.112	0	0	0.888
"350"	"f004/elh2_004020.jpg"	0	0.002	0.998	0	0
"351"	"f004/elh2_004808.jpg"	0.006	0.248	0	0	0.746
"352"	"f004/elh2_004501.jpg"	0.018	0.802	0	0	0.18
"353"	"f004/elh2_004244.jpg"	0	0.344	0.244	0	0.412
"354"	"f004/elh2_004761.jpg"	0.124	0.726	0	0	0.15
"355"	"f004/elh2_004670.jpg"	0.004	0.112	0.006	0	0.878
"356"	"f004/elh2_004519.jpg"	0.002	0.886	0	0	0.112
"357"	"f004/elh2_004558.jpg"	0.012	0.226	0	0	0.762
"358"	"f004/elh2_004582.jpg"	0.02	0.116	0	0	0.864
"359"	"f004/elh2_004561.jpg"	0.008	0.238	0.004	0	0.75
"360"	"f004/elh2_004719.jpg"	0.106	0.222	0	0	0.672
"361"	"f004/elh2_004585.jpg"	0	0.056	0	0	0.944
"362"	"f004/elh2_004161.jpg"	0	0.182	0.288	0	0.53
"363"	"f004/elh2_004316.jpg"	0	0.888	0.008	0	0.104
"364"	"f004/elh2_004087.jpg"	0	0.002	0.998	0	0
"365"	"f004/elh2_004191.jpg"	0	0.49	0.182	0	0.328
"366"	"f004/elh2_004895.jpg"	0.018	0.496	0	0	0.486
"367"	"f004/elh2_004015.jpg"	0	0	1	0	0
"368"	"f004/elh2_004928.jpg"	0.03	0.888	0	0	0.082
"369"	"f004/elh2_004986.jpg"	0.06	0.894	0	0	0.046
"370"	"f004/elh2_004515.jpg"	0.018	0.634	0	0	0.348
"371"	"f004/elh2_004122.jpg"	0	0.22	0.638	0	0.142
"372"	"f004/elh2_004722.jpg"	0.032	0.198	0	0	0.77
"373"	"f004/elh2_004881.jpg"	0.01	0.272	0	0	0.718
"374"	"f004/elh2_004944.jpg"	0.002	0.096	0	0	0.902
"375"	"f004/elh2_004163.jpg"	0	0.41	0.25	0	0.34
"376"	"f004/elh2_004793.jpg"	0.374	0.38	0	0	0.246
"377"	"f004/elh2_004077.jpg"	0	0.002	0.996	0.002	0
"378"	"f004/elh2_004454.jpg"	0.04	0.388	0	0	0.572
"379"	"f004/elh2_004022.jpg"	0	0	1	0	0
"380"	"f004/elh2_004563.jpg"	0	0.102	0	0	0.898
